Name;Position;Age;Height_i;Weight;Salary;Points;Rebounds;Assists
Sam Dekker;F;27;6.9;219;1669178.0;;;
Goran Dragic;PG;35;6.3;190;19440000.0;13.4;3.4;4.4
Malachi Flynn;PG;23;6.1;175;2048040.0;7.5;2.5;2.9
Freddie Gillespie;SF;24;6.9;245;1517981.0;5.6;4.9;0.5
David Johnson;PG;20;6.5;210;;;;
Stanley Johnson;SF;25;6.6;242;;4.4;2.5;1.5
Pascal Siakam;PG;27;6.9;230;33003936.0;21.4;7.2;4.5
Gary Trent Jr.;SG;22;6.5;209;16000000.0;15.3;2.6;1.4
Fred VanVleet;SG;27;6.1;197;19675926.0;19.6;4.2;6.3
Yuta Watanabe;SF;26;6.9;215;1762796.0;4.4;3.2;0.8
Ryan Arcidiacono;PG;27;6.3;195;3000000.0;3.1;1.5;1.3
Lonzo Ball;PG;23;6.6;190;18604651.0;14.6;4.8;5.7
Tony Bradley;C;23;6.1;248;1669178.0;7.1;5.7;0.9
Troy Brown Jr.;SF;22;6.6;215;5170564.0;4.7;3.1;0.9
Alex Caruso;SG;27;6.4;186;8650651.0;6.4;2.9;2.8
DeMar DeRozan;SF;32;6.6;220;26000000.0;21.6;4.2;6.9
Ayo Dosunmu;SG;21;6.5;200;925258.0;;;
Devon Dotson;PG;22;6.2;185;;2.1;0.5;0.6
Cristiano Felicio;PF;29;6.11;270;;1.3;1.4;0.5
Javonte Green;PG;28;6.4;205;1669178.0;3.6;1.7;0.4
Derrick Jones Jr.;SF;24;6.5;210;9720900.0;6.8;3.5;0.8
Zach LaVine;SG;26;6.5;200;19500000.0;27.4;5.0;4.9
Adam Mokoka;SG;23;6.4;190;;1.1;0.4;0.4
Denzel Valentine;SG;27;6.4;220;;6.5;3.2;1.7
Nikola Vucevic;C;30;6.11;260;24000000.0;23.4;11.7;3.8
Coby White;PG;21;6.5;195;5837760.0;15.1;4.1;4.8
Patrick Williams;PF;20;6.7;215;7422000.0;9.2;4.6;1.4
Jarrett Allen;C;23;6.11;243;20000000.0;12.8;10.0;1.7
Damyean Dotson;SG;27;6.5;210;2000000.0;6.7;2.0;2.0
Darius Garland;PG;21;6.1;192;7040880.0;17.4;2.4;6.1
Mfiondu Kabengele;C;24;6.9;250;1701593.0;2.4;1.5;0.4
Kevin Love;PF;33;6.8;251;31258256.0;12.2;7.4;2.5
Lauri Markkanen;PF;24;7.0;240;15690909.0;13.6;5.3;0.9
Evan Mobley;C;20;7.0;215;8075160.0;;;
Isaac Okoro;SF;20;6.5;225;6720720.0;9.6;3.1;1.9
Cedi Osman;SF;26;6.7;230;8133334.0;10.4;3.4;2.9
Ricky Rubio;G;30;6.3;190;17800000.0;8.6;3.3;6.4
Collin Sexton;PG;22;6.1;190;6439671.0;24.3;3.1;4.4
Lamar Stevens;F;24;6.6;230;1517981.0;4.1;2.4;0.6
Brodric Thomas;G;24;6.5;185;;3.9;1.7;0.9
Dean Wade;PF;24;6.9;228;1782621.0;6.0;3.4;1.2
Dylan Windler;SG;24;6.6;196;2239200.0;5.2;3.5;1.1
Saddiq Bey;SF;22;6.7;215;2824320.0;12.2;4.5;1.4
