Name;Position;Age;Height_i;Weight;Salary;Points;Rebounds;Assists
Tyrell Terry;PG;20;6.2;160;1517981.0;1.0;0.5;0.5
D.J. Augustin;PG;33;5.11;183;7000000.0;7.7;1.6;3.3
Avery Bradley;PG;30;6.3;180;;6.4;2.1;1.7
Armoni Brooks;SG;23;6.3;195;;11.2;3.4;1.5
Josh Christopher;SG;19;6.5;215;2259240.0;;;
Dante Exum;PG;26;6.5;214;;3.8;2.8;2.2
Usman Garuba;PF;19;6.8;230;2353320.0;;;
Eric Gordon;SG;32;6.3;215;18218818.0;17.8;2.1;2.6
Jalen Green;SG;19;6.6;178;8992200.0;;;
Danuel House Jr.;SF;28;6.6;220;3894000.0;8.8;3.7;1.9
Matthew Hurt;F;21;6.9;235;;;;
Anthony Lamb;SF;23;6.6;227;;5.5;2.9;1.0
Kenyon Martin Jr.;SF;20;6.6;215;1517981.0;9.3;5.4;1.1
David Nwaba;SF;28;6.5;219;4650000.0;9.2;3.9;1.0
Kevin Porter Jr.;SG;21;6.4;203;1782621.0;16.6;3.8;6.3
Alperen Sengun;C;19;6.9;235;3214680.0;;;
Jae'Sean Tate;SF;25;6.4;230;1517981.0;11.3;5.3;2.5
Daniel Theis;C;29;6.8;245;8280351.0;9.6;5.5;1.7
Khyri Thomas;SG;25;6.3;210;1762796.0;16.4;3.6;5.0
John Wall;PG;31;6.3;210;44310840.0;20.6;3.2;6.9
D.J. Wilson;PF;25;6.1;231;;5.2;3.2;0.7
Christian Wood;C;25;6.1;214;13666667.0;21.0;9.6;1.7
Steven Adams;C;28;6.11;265;17073171.0;7.6;8.9;1.9
Santi Aldama;PF;20;6.11;215;1994520.0;;;
Kyle Anderson;SF;27;6.9;230;9937150.0;12.4;5.7;3.6
Desmond Bane;SG;23;6.5;215;2033160.0;9.2;3.1;1.7
Dillon Brooks;SF;25;6.7;225;12200000.0;17.2;2.9;2.3
Brandon Clarke;PF;24;6.8;215;2726880.0;10.3;5.6;1.6
Jarrett Culver;G;22;6.6;195;6395160.0;5.3;3.1;0.7
Tim Frazier;PG;30;6.0;170;;1.6;1.6;3.2
Juancho Hernangomez;F;25;6.9;214;6907815.0;7.2;3.9;0.7
Jaren Jackson Jr.;PF;21;6.11;242;9180560.0;14.4;5.6;1.1
Tyus Jones;PG;25;6.0;196;8376286.0;6.3;2.0;3.7
John Konchar;SG;25;6.5;210;2200000.0;4.3;3.0;1.1
Sean McDermott;SG;24;6.6;195;;2.2;1.1;0.2
De'Anthony Melton;SG;23;6.2;200;8805976.0;9.1;3.1;2.5
Sam Merrill;SG;25;6.4;205;1517981.0;3.0;1.0;0.7
Ja Morant;PG;22;6.3;174;9603360.0;19.1;4.0;7.4
Daniel Oturu;C;21;6.8;240;1517981.0;1.8;1.6;0.3
Yves Pons;G;22;6.6;215;;;;
Jontay Porter;PF;21;6.11;240;1950000.0;2.0;1.3;0.1
Killian Tillie;C;23;6.9;220;;3.2;1.3;0.4
Xavier Tillman;C;22;6.8;245;1517981.0;6.6;4.3;1.3
Ziaire Williams;SG;19;6.8;185;4373040.0;;;
Nickeil Alexander-Walker;SG;23;6.6;205;3261480.0;11.0;3.1;2.2
Wenyen Gabriel;PF;24;6.9;205;1762796.0;3.4;2.6;0.5
Devonte' Graham;G;26;6.1;195;11000000.0;14.8;2.7;5.4
Josh Hart;SG;26;6.5;215;12000000.0;9.2;8.0;2.3
Jaxson Hayes;C;21;6.11;220;5348280.0;7.5;4.3;0.6
Willy Hernangomez;C;27;6.11;250;2327220.0;7.8;7.1;1.1
Brandon Ingram;SF;24;6.8;190;29467800.0;23.8;4.9;4.9
Herbert Jones;SF;22;6.8;210;1700000.0;;;
Kira Lewis Jr.;PG;20;6.1;170;3822240.0;6.4;1.3;2.3
Didi Louzada;SF;22;6.5;185;1786878.0;2.7;1.0;1.0
Naji Marshall;SF;23;6.7;220;1517981.0;7.7;4.6;2.8
Trey Murphy III;SG;21;6.9;206;3053760.0;;;
James Nunnally;SF;31;6.7;205;;1.7;1.0;0.3
Tomas Satoransky;SG;29;6.7;210;10000000.0;7.7;2.4;4.7
Garrett Temple;SF;35;6.5;195;4910000.0;7.6;2.9;2.2
Jonas Valanciunas;C;29;6.11;265;14000000.0;17.1;12.5;1.8
Zion Williamson;PF;21;6.7;284;10733400.0;27.0;7.2;3.7
Al-Farouq Aminu;PF;30;6.8;220;10183800.0;4.4;4.8;1.3
Keita Bates-Diop;SF;25;6.8;229;;2.6;1.6;0.4
Zach Collins;PF;23;6.11;250;7000000.0;;;
Drew Eubanks;PF;24;6.9;245;1762796.0;5.8;4.5;0.8
Bryn Forbes;SG;28;6.2;205;4500000.0;10.0;1.6;0.6
DaQuan Jeffries;SG;24;6.5;225;1701593.0;4.1;2.3;0.7
Keldon Johnson;SF;21;6.5;220;2145720.0;12.8;6.0;1.8
Tre Jones;PG;21;6.1;185;1517981.0;2.5;0.6;1.1
Jock Landale;C;25;6.11;255;925258.0;;;
Doug McDermott;SF;29;6.7;225;13750000.0;13.6;3.3;1.3
Dejounte Murray;PG;24;6.4;180;15428880.0;15.7;7.1;5.4
Jakob Poeltl;C;25;7.1;245;8750000.0;8.6;7.9;1.9
Joshua Primo;SG;18;6.6;190;3946800.0;;;
Luka Samanic;PF;21;6.1;227;2959080.0;3.7;2.1;0.5
Devin Vassell;SG;21;6.5;200;4235160.0;5.5;2.8;0.9
Lonnie Walker IV;SG;22;6.4;204;4447896.0;11.2;2.6;1.7
Derrick White;PG;27;6.4;190;15178571.0;15.4;3.0;3.5
Joe Wieskamp;SF;22;6.6;210;;;;
Thaddeus Young;PF;33;6.8;235;14190000.0;12.1;6.2;4.3
Will Barton;SF;30;6.6;181;15625000.0;12.7;4.0;3.2
Bol Bol;C;21;7.2;220;2161152.0;2.2;0.8;0.2
Facundo Campazzo;PG;30;5.1;195;3200000.0;6.1;2.1;3.6
Vlatko Cancar;SF;24;6.8;236;1782621.0;2.1;1.2;0.3
PJ Dozier;SG;24;6.6;205;1910860.0;7.7;3.6;1.8
Aaron Gordon;PF;25;6.8;235;16409091.0;12.4;5.7;3.2
JaMychal Green;PF;31;6.8;227;8200000.0;8.1;4.8;0.9
Jeff Green;PF;35;6.8;235;4500000.0;11.0;3.9;1.6
Shaquille Harrison;SG;27;6.7;190;;2.1;1.4;0.7
Markus Howard;PG;22;5.1;175;;2.8;0.6;0.5
Nah'Shon Hyland;PG;20;6.3;165;2096880.0;;;
Nikola Jokic;C;26;6.11;284;31579390.0;26.4;10.8;8.3
Monte Morris;PG;26;6.2;183;8449074.0;10.2;2.0;3.2
Jamal Murray;PG;24;6.3;215;29467800.0;21.2;4.0;4.8
Zeke Nnaji;PF;20;6.9;240;2498760.0;3.2;1.5;0.2
Michael Porter Jr.;SF;23;6.1;218;5258735.0;19.0;7.3;1.1
Austin Rivers;SG;29;6.4;200;1669178.0;7.9;2.3;2.3
Malik Beasley;SG;24;6.4;187;14491964.0;19.6;4.4;2.4
Patrick Beverley;PG;33;6.1;180;14320988.0;7.5;3.2;2.1
Ed Davis;C;32;6.9;218;;2.1;5.0;0.9
Anthony Edwards;SF;20;6.4;225;10245480.0;19.3;4.7;2.9
Nathan Knight;F;23;6.1;253;;3.8;2.2;0.2
Jake Layman;SF;27;6.8;209;3940185.0;5.1;1.5;0.6
Jaden McDaniels;PF;20;6.9;185;2063280.0;6.8;3.7;1.1
Jordan McLaughlin;PG;25;5.11;185;;5.0;2.1;3.8
Jaylen Nowell;SG;22;6.4;201;1782621.0;9.0;2.3;1.5
Josh Okogie;SF;23;6.4;213;4087904.0;5.4;2.6;1.1
Taurean Prince;PF;27;6.7;218;13000000.0;9.5;3.5;1.9
Naz Reid;C;22;6.9;264;1782621.0;11.2;4.6;1.0
D'Angelo Russell;PG;25;6.4;193;30013500.0;19.0;2.6;5.8
Karl-Anthony Towns;C;25;6.11;248;31650600.0;24.8;10.6;4.5
Jarred Vanderbilt;PF;22;6.9;214;;5.4;5.8;1.2
Darius Bazley;PF;21;6.8;208;2513040.0;13.7;7.2;1.8
Charlie Brown Jr.;F;24;6.6;199;1701593.0;4.4;1.9;1.0
Charlie Brown Jr.;SF;24;6.6;199;;4.4;1.9;1.0
Gabriel Deck;SF;26;6.6;231;3676852.0;8.4;4.0;2.4
Luguentz Dort;SF;22;6.3;215;1782621.0;14.0;3.6;1.7
Derrick Favors;C;30;6.9;265;9720900.0;5.4;5.5;0.6
Josh Giddey;SG;18;6.8;205;5988000.0;;;
Shai Gilgeous-Alexander;SG;23;6.6;180;5495532.0;23.7;4.7;5.9
Josh Hall;SF;20;6.9;190;;4.1;2.8;1.3
Jaylen Hoard;SF;22;6.8;216;;6.1;3.4;1.3
Ty Jerome;SG;24;6.5;195;2412840.0;10.7;2.8;3.6
Vit Krejci;F;21;6.8;195;;;;
Theo Maledon;PG;20;6.4;175;2000000.0;10.1;3.2;3.5
Tre Mann;PG;20;6.3;178;2901240.0;;;
Mike Muscala;C;30;6.1;240;3365385.0;9.7;3.8;0.8
Svi Mykhailiuk;SG;24;6.7;205;;8.5;2.5;1.7
Aleksej Pokusevski;PF;19;7.0;190;3113160.0;8.2;4.7;2.2
Jeremiah Robinson-Earl;PF;20;6.8;242;2000000.0;;;
Isaiah Roby;C;23;6.8;230;1782621.0;8.7;5.6;1.8
Aaron Wiggins;SG;22;6.5;190;;;;
Kenrich Williams;SF;26;6.6;210;2000000.0;8.0;4.1;2.3
Keljin Blevins;SF;25;6.4;200;;0.7;0.6;0.2
Greg Brown;PF;20;6.9;205;925258.0;;;
Robert Covington;PF;30;6.7;209;12975471.0;8.5;6.7;1.7
CJ Elleby;SG;21;6.6;200;1517981.0;2.3;1.1;0.3
Harry Giles III;PF;23;6.11;240;;2.8;3.5;0.8
Rondae Hollis-Jefferson;SF;26;6.6;217;;2.5;2.4;1.2
T.J. Leaf;PF;24;6.1;222;;1.7;0.7;0.1
Damian Lillard;PG;31;6.2;195;39344900.0;28.8;4.2;7.5
Nassir Little;SF;21;6.5;220;2316240.0;4.6;2.7;0.5
CJ McCollum;SG;29;6.3;190;30864198.0;23.1;3.9;4.7
Ben McLemore;SG;28;6.3;195;1669178.0;7.7;1.9;0.7
Larry Nance Jr.;PF;28;6.7;245;10690909.0;9.3;6.7;3.1
Jusuf Nurkic;C;27;6.11;290;12000000.0;11.5;9.0;3.4
Norman Powell;SF;28;6.3;215;15517241.0;18.6;3.1;1.9
Anfernee Simons;SG;22;6.3;181;3938818.0;7.8;2.2;1.4
Tony Snell;SF;29;6.6;213;1669178.0;5.3;2.4;1.3
Trendon Watford;F;20;6.9;240;;;;
Cody Zeller;C;28;6.11;240;1669178.0;9.4;6.8;1.8
Udoka Azubuike;C;21;6.1;280;2075880.0;1.1;0.9;0.0
Bojan Bogdanovic;SF;32;6.7;226;18700000.0;17.0;3.9;1.9
Jarrell Brantley;PF;25;6.5;250;1669178.0;2.3;1.0;0.5
Jared Butler;SG;21;6.3;195;925258.0;;;
Jordan Clarkson;PG;29;6.4;194;12420000.0;18.4;4.0;2.5
Mike Conley;PG;33;6.1;175;21000000.0;16.2;3.5;6.0
Trent Forrest;SG;23;6.4;210;;2.9;1.5;1.5
Rudy Gay;SF;35;6.8;250;5890000.0;11.4;4.8;1.4
Rudy Gobert;C;29;7.1;258;35344828.0;14.3;13.5;1.3
Elijah Hughes;SF;23;6.5;215;1517981.0;1.7;0.5;0.3
Ersan Ilyasova;PF;34;6.9;235;;3.8;1.7;0.2
Joe Ingles;SG;33;6.8;220;13036364.0;12.1;3.6;4.7
Donovan Mitchell;SG;25;6.1;215;28103500.0;26.4;4.4;5.2
Juwan Morgan;SF;24;6.7;232;;1.2;1.0;0.3
Royce O'Neale;PF;28;6.4;226;8800000.0;7.0;6.8;2.5
Olumiye Oni;SG;24;6.5;206;1782621.0;;;
Eric Paschall;F;24;6.6;255;1782621.0;9.5;3.2;1.3
Hassan Whiteside;C;32;7.0;265;1669178.0;8.1;6.0;0.6
